Parameter,Type,Location,Method
Specific Conductance,Tributary,Quabbin,One Sample
Turbidity,Tributary,Quabbin,One Sample
Water Temperature,Tributary,Quabbin,One Sample
E. coli,Tributary,Quabbin,One Sample
Mean UV254,Tributary,Quabbin,One Sample
Ammonia,Tributary,Quabbin,One Sample
Nitrate,Tributary,Quabbin,One Sample
Total Phosphorus,Tributary,Quabbin,One Sample
Total Kjeldahl Nitrogen,Tributary,Quabbin,One Sample
Dissolved Oxygen,Tributary,Quabbin,One Sample
Dissolved Oxygen Saturation,Tributary,Quabbin,One Sample
pH,Tributary,Quabbin,One Sample
Calcium(II),Tributary,Quabbin,One Sample
Total Coliform,Tributary,Quabbin,One Sample
Nitrite,Tributary,Quabbin,One Sample
Alkalinity,Tributary,Quabbin,One Sample
Fecal Coliform,Tributary,Quabbin,One Sample
Specific Conductance,Tributary,Ware River,One Sample
Turbidity,Tributary,Ware River,One Sample
Water Temperature,Tributary,Ware River,One Sample
E. coli,Tributary,Ware River,One Sample
Mean UV254,Tributary,Ware River,One Sample
Ammonia,Tributary,Ware River,One Sample
Nitrate,Tributary,Ware River,One Sample
Total Phosphorus,Tributary,Ware River,One Sample
Total Kjeldahl Nitrogen,Tributary,Ware River,One Sample
Dissolved Oxygen,Tributary,Ware River,One Sample
Dissolved Oxygen Saturation,Tributary,Ware River,One Sample
pH,Tributary,Ware River,One Sample
Calcium(II),Tributary,Ware River,One Sample
Total Coliform,Tributary,Ware River,One Sample
Nitrite,Tributary,Ware River,One Sample
Alkalinity,Tributary,Ware River,One Sample
Fecal Coliform,Tributary,Ware River,One Sample
Specific Conductance,Tributary,Wachusett,One Sample
Turbidity,Tributary,Wachusett,One Sample
Water Temperature,Tributary,Wachusett,One Sample
E. coli,Tributary,Wachusett,One Sample
Mean UV254,Tributary,Wachusett,One Sample
Ammonia,Tributary,Wachusett,One Sample
Nitrate,Tributary,Wachusett,One Sample
Total Phosphorus,Tributary,Wachusett,One Sample
Total Kjeldahl Nitrogen,Tributary,Wachusett,One Sample
Total Organic Carbon,Tributary,Wachusett,One Sample
Orthophosphate,Tributary,Wachusett,One Sample
Nitrite,Tributary,Wachusett,One Sample
